@relation finalcensus_1

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {low,medium,high}
@attribute FINCP numeric
@attribute ST numeric

@data
5,1,1,3,0,0,low,1,11
9,1,0,2,1,1,medium,1,5
5,3,1,3,1,0,low,1,10
3,2,1,4,1,0,low,2,15
5,1,2,3,1,0,low,2,42
9,1,0,2,1,0,medium,1,5
3,3,0,2,0,0,low,2,14
1,1,1,1,0,0,medium,2,22
5,3,2,2,0,0,low,2,11
5,2,0,2,0,0,low,1,21
3,1,0,2,1,0,low,1,29
5,1,2,3,0,0,low,1,10
7,3,0,3,1,0,low,2,37
7,2,1,2,0,0,low,1,37
9,1,0,1,1,0,low,2,5
8,1,0,2,1,0,low,2,13
1,1,0,2,0,0,medium,1,7
7,1,0,2,0,0,low,2,37
5,1,1,0,0,0,low,2,34
9,3,0,1,1,0,low,1,5
7,2,1,3,0,0,low,1,37
4,1,1,3,1,0,low,1,16
9,1,0,5,0,0,medium,1,12
9,3,0,3,1,0,low,1,5
9,1,0,2,0,0,medium,1,5
3,2,0,2,0,0,low,1,29
5,1,1,3,1,0,low,1,27
1,3,0,2,0,0,low,1,7
9,1,0,2,1,0,medium,1,5
4,3,1,2,0,0,low,1,24
9,1,1,1,0,0,low,1,5
9,1,0,2,0,0,low,1,31
7,1,1,3,0,0,medium,1,37
9,1,1,3,0,0,medium,1,41
2,3,0,2,0,0,low,1,32
5,1,1,2,1,0,low,2,10
3,2,1,3,0,0,low,2,23
5,1,0,2,0,0,low,1,10
7,1,2,3,0,0,low,1,19
5,1,0,2,0,0,low,1,27
9,3,1,3,0,0,low,1,5
6,1,1,3,0,1,low,1,18
1,3,0,2,0,0,low,1,22
8,1,1,3,0,0,low,1,6
7,3,0,1,1,0,low,1,37
9,1,0,2,0,0,low,2,41
6,1,2,3,0,0,low,1,25
7,1,0,2,0,0,low,1,37
9,1,0,3,0,0,medium,1,5
8,3,1,3,1,0,medium,2,3
9,1,1,3,0,0,low,1,5
9,1,0,2,1,1,low,1,41
5,3,0,1,0,0,low,1,34
5,1,1,3,0,0,low,1,34
3,1,0,3,1,0,low,1,43
9,1,0,3,1,0,medium,2,5
7,1,1,4,0,0,low,1,37
7,1,0,3,1,0,low,1,4
8,1,0,2,0,0,medium,2,6
3,1,1,3,0,0,medium,2,14
5,1,1,3,0,0,low,2,10
9,1,1,2,0,0,medium,1,5
9,2,1,2,0,0,low,1,5
9,1,1,4,1,0,medium,1,5
6,1,3,3,0,0,medium,1,36
5,1,1,3,0,0,low,1,40
9,1,1,3,1,0,medium,1,5
1,1,1,2,0,0,low,2,7
7,1,1,4,0,1,medium,2,37
9,1,1,4,1,0,medium,1,5
3,3,0,1,0,0,low,1,43
9,1,0,1,1,0,medium,1,5
7,1,0,2,0,0,low,2,37
3,3,1,2,0,0,low,2,15
5,1,2,3,1,1,low,1,11
9,1,0,1,0,0,medium,2,5
6,1,1,3,1,0,low,2,1
3,1,1,4,0,0,low,1,29
2,1,0,2,0,0,low,2,32
6,1,1,3,1,0,low,2,25
5,1,1,3,1,0,low,1,27
5,1,1,3,1,0,low,2,10
9,1,0,1,0,0,low,1,41
5,3,1,3,1,0,low,1,34
7,1,1,3,0,0,low,1,37
7,3,0,2,2,0,low,1,37
1,1,0,2,1,0,high,2,22
3,3,1,3,1,0,low,1,29
