@relation finalcensus_1

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {low,medium,high}
@attribute FINCP numeric
@attribute ST numeric

@data
8,1,1,3,1,0,low,2,6
5,1,2,3,0,0,low,1,11
5,1,0,1,0,0,medium,2,40
9,1,0,3,1,0,low,1,5
5,1,0,2,0,0,high,2,11
3,1,1,2,0,0,low,2,15
9,3,0,1,0,0,low,1,5
5,3,1,3,0,0,low,1,11
9,1,0,3,0,0,medium,1,5
3,1,1,3,0,0,low,1,23
7,1,1,3,0,0,medium,2,37
6,1,1,3,1,0,low,2,25
5,1,1,2,1,0,low,2,27
9,3,0,2,0,0,low,1,2
9,1,0,2,0,0,medium,1,5
5,1,1,2,0,0,low,1,27
9,1,0,1,0,0,low,1,5
8,1,1,3,1,0,low,2,3
9,1,1,2,0,0,medium,1,5
5,1,1,3,0,0,low,1,10
3,1,1,2,0,0,low,2,29
7,1,1,2,0,0,low,1,19
7,1,1,3,0,0,low,2,37
4,1,1,3,0,0,low,1,17
1,1,0,2,0,0,low,2,7
6,1,0,3,0,0,low,2,18
7,2,1,4,0,0,low,1,37
6,1,0,3,0,0,low,1,1
6,1,2,4,0,0,low,1,25
9,1,1,3,0,0,medium,1,5
9,1,0,2,0,0,medium,1,5
7,3,1,3,0,0,low,1,37
9,1,1,3,0,0,low,1,5
3,1,1,2,1,0,low,2,29
5,3,1,3,0,0,low,2,11
7,1,1,3,0,0,medium,2,37
6,1,2,4,0,0,low,1,18
5,1,1,3,0,0,low,2,27
9,3,0,3,0,0,medium,2,5
2,3,1,2,0,0,low,2,32
5,1,0,2,0,0,low,1,27
8,1,0,3,0,0,low,2,13
1,1,1,3,1,0,low,2,20
9,3,0,2,0,0,low,1,5
9,1,1,2,0,0,low,2,31
9,1,0,2,0,0,low,1,5
9,1,1,2,0,0,medium,1,5
8,1,0,1,0,0,low,2,3
9,1,0,3,0,0,medium,2,5
5,3,1,3,0,0,low,2,10
7,1,1,3,0,0,low,2,37
7,1,1,3,0,0,medium,2,37
7,1,1,3,0,0,low,1,37
3,3,2,2,1,0,low,1,15
3,1,2,3,0,0,low,1,29
8,1,1,3,0,0,low,2,3
5,1,0,2,0,0,medium,1,10
5,3,0,2,0,0,low,2,10
9,1,0,3,0,0,low,2,5
6,1,0,2,0,0,low,1,18
1,3,1,3,0,1,low,2,22
5,1,1,3,0,0,medium,1,11
7,2,0,2,0,0,low,2,37
5,3,1,3,0,0,low,1,10
4,1,1,3,0,0,medium,1,24
7,1,3,3,0,0,low,1,37
5,1,1,3,0,0,low,1,27
4,1,1,1,0,0,low,1,35
9,1,0,2,0,0,low,1,41
9,3,0,2,0,0,medium,1,5
3,1,0,3,1,0,low,1,15
1,1,0,2,1,0,medium,2,22
4,1,1,3,0,0,low,2,24
8,1,1,5,0,0,low,1,13
3,1,2,3,0,0,medium,1,14
7,1,0,2,0,0,low,1,30
5,1,0,2,0,0,low,2,27
6,3,1,3,0,0,low,1,25
9,1,0,1,0,0,low,1,5
9,1,0,1,0,0,low,2,5
6,1,2,2,0,0,low,1,1
4,3,1,5,1,0,low,1,35
3,1,1,2,0,0,low,1,15
2,1,0,2,1,0,low,2,32
6,1,1,3,0,0,low,2,18
9,1,1,2,0,0,medium,1,5
9,1,1,3,0,0,medium,2,5
6,1,1,3,0,0,low,1,25
8,3,1,3,0,0,low,2,3
5,1,0,2,1,0,low,1,27
6,1,1,3,0,0,low,1,25
6,1,3,3,0,0,low,1,36
5,1,1,2,0,0,low,1,10
6,1,1,2,0,0,low,2,25
2,1,2,3,0,0,low,1,32
8,1,1,3,1,0,low,1,13
5,1,0,3,0,0,medium,1,40
9,1,0,2,0,0,low,2,5
5,2,0,3,0,0,low,1,11
9,1,0,2,0,0,medium,1,5
3,3,0,2,0,0,low,1,29
7,1,0,3,0,0,low,1,19
1,1,1,1,1,0,low,2,22
3,3,1,2,0,0,low,2,29
3,3,2,4,0,0,low,2,23
9,2,1,2,0,0,medium,1,12
7,1,0,2,0,0,low,1,37
4,3,0,2,1,0,low,2,17
9,1,0,2,0,0,low,1,12
7,1,1,2,0,0,low,1,37
9,3,0,1,0,0,low,1,5
9,1,1,3,0,0,medium,2,5
3,3,0,3,0,0,low,1,14
5,1,0,4,0,0,medium,1,11
9,1,0,3,0,0,low,1,5
1,1,0,2,0,0,medium,1,22
2,3,1,2,0,0,low,1,32
5,1,1,3,0,0,low,1,11
8,1,0,2,0,0,low,1,6
3,3,1,4,0,0,low,1,23
8,3,0,2,0,0,low,1,6
5,1,0,3,0,0,low,1,34
5,1,0,1,0,0,low,2,10
7,3,0,2,0,0,low,2,37
1,3,0,2,0,0,low,1,7
5,1,1,3,0,0,low,2,8
9,1,1,2,0,0,low,1,5
9,1,1,2,0,0,medium,2,5
5,1,0,2,0,0,low,1,11
5,3,0,2,0,0,low,1,11
5,1,0,3,0,0,medium,2,34
9,1,2,3,0,0,low,2,41
9,3,1,3,0,0,low,1,5
2,3,1,3,0,0,low,2,32
7,2,0,2,0,0,low,2,37
3,1,0,2,0,0,low,2,29
7,3,0,2,0,0,low,2,37
5,1,1,2,0,0,medium,2,40
3,1,1,3,0,0,low,1,14
5,1,1,3,0,0,medium,1,10
3,1,1,3,0,0,low,1,29
4,1,1,2,0,0,low,1,17
9,1,1,2,0,0,medium,1,5
3,1,2,3,0,0,low,1,14
5,1,1,3,0,0,low,1,27
5,3,1,3,0,0,low,1,11
5,1,0,2,0,0,medium,2,21
5,1,0,2,0,0,medium,2,11
1,3,0,3,0,0,low,1,20
5,1,0,2,0,0,low,1,10
7,1,0,2,1,0,low,2,19
3,3,1,3,0,0,low,1,43
5,1,0,3,0,0,low,1,10
7,3,1,3,0,0,low,2,37
7,3,0,2,0,0,low,2,4
3,1,1,3,1,0,low,2,15
9,1,1,4,0,0,low,1,5
5,1,0,2,0,0,medium,1,10
1,1,2,2,1,0,low,2,20
2,2,0,3,0,0,low,1,32
5,3,0,3,0,0,low,1,10
7,1,1,3,1,0,medium,2,37
7,1,0,2,0,0,low,1,37
7,1,0,2,0,0,low,1,19
4,1,1,3,0,0,low,2,28
3,1,1,3,0,0,low,1,29
3,1,0,2,1,0,low,1,43
8,3,0,2,0,0,low,1,3
9,1,0,3,0,0,low,2,31
3,1,1,3,0,0,low,2,15
9,2,0,2,0,0,low,1,5
9,3,1,2,0,0,low,2,5
9,1,0,1,0,0,low,2,5
7,3,2,3,0,0,low,2,4
1,2,0,3,0,0,low,1,7
5,1,0,4,1,0,medium,2,11
1,1,0,1,0,0,medium,1,22
5,3,0,2,0,0,low,2,27
9,1,1,3,0,0,medium,1,31
4,1,0,3,0,0,high,1,17
5,1,1,3,0,0,low,1,11
7,2,1,4,0,2,low,1,4
4,3,0,1,0,0,low,2,17
9,1,1,4,0,0,medium,2,5
1,1,0,2,0,0,low,2,7
2,1,0,2,0,0,low,2,32
9,1,1,5,0,0,medium,2,5
7,1,2,3,0,0,low,1,30
1,3,0,1,0,0,low,1,22
9,1,0,3,0,0,low,0,5
7,1,1,3,0,0,low,2,4
4,1,1,3,0,0,low,1,16
7,1,0,1,1,0,low,1,37
5,1,3,3,0,0,low,2,11
9,1,1,2,0,0,medium,2,5
5,1,2,3,0,0,low,1,11
5,2,1,5,2,0,low,2,11
3,3,2,2,0,0,low,1,29
5,1,1,2,1,0,low,2,21
7,1,1,3,0,0,low,2,30
9,1,1,2,0,0,medium,1,5
7,1,1,3,0,0,low,2,37
3,3,0,1,0,0,low,1,43
9,1,0,1,0,0,low,1,41
7,3,2,3,0,0,low,1,37
1,2,0,2,0,0,medium,1,22
6,1,1,3,0,0,low,2,1
1,1,0,2,0,0,high,2,22
5,3,1,3,0,0,low,1,11
9,1,0,3,0,0,low,1,5
6,2,1,3,0,0,low,2,1
5,1,0,2,0,0,low,1,27
9,3,1,2,0,0,low,2,5
8,1,1,3,0,0,low,1,3
6,1,2,3,0,0,low,1,36
5,1,1,3,0,0,low,2,10
9,1,1,5,0,0,low,1,5
5,1,1,4,0,0,medium,2,11
7,3,0,2,0,0,low,2,30
9,1,0,1,0,0,low,1,5
1,1,1,3,0,0,low,1,22
9,1,1,2,2,2,medium,4,5
7,1,0,1,0,0,low,1,37
3,1,0,2,0,0,low,1,14
6,1,1,3,0,0,medium,1,18
3,3,1,2,0,0,low,2,29
7,3,1,3,0,0,low,1,30
9,1,1,3,0,0,low,1,5
9,1,0,2,1,0,low,1,5
7,1,1,2,0,0,low,1,30
7,1,0,2,0,0,low,1,37
5,2,1,3,0,0,low,2,10
3,1,0,2,0,0,low,1,29
5,3,1,3,0,0,low,1,10
5,1,1,2,0,0,low,1,27
9,3,0,1,0,0,low,1,5
5,1,0,2,0,0,low,1,10
9,1,1,3,0,0,medium,2,31
3,1,1,2,0,0,low,1,15
5,3,1,2,1,0,low,2,11
4,1,1,4,0,0,low,2,16
2,1,1,3,0,0,medium,1,32
9,1,1,2,0,0,low,1,41
8,1,0,2,0,0,low,1,3
5,3,2,3,0,0,low,1,10
7,1,0,1,1,0,low,2,30
9,3,0,2,0,0,low,2,5
9,3,1,2,0,0,low,2,41
7,1,1,3,0,0,low,2,37
4,3,3,2,1,0,low,1,24
6,1,1,4,0,0,medium,1,36
9,3,0,2,0,0,low,1,5
9,3,1,3,0,0,low,1,5
5,1,1,4,0,0,low,1,10
9,1,0,0,0,0,low,1,5
9,1,0,0,0,0,low,2,5
7,1,0,2,1,0,medium,2,37
8,3,0,3,0,0,low,1,3
9,1,3,4,0,0,low,1,5
5,1,2,5,1,0,low,1,27
5,3,0,2,0,0,low,2,27
3,1,0,2,0,0,low,1,15
5,1,0,2,0,0,medium,1,10
9,1,0,1,0,0,low,1,5
5,1,0,3,0,0,low,2,27
9,1,1,2,0,0,medium,1,5
9,1,0,3,0,0,medium,2,5
4,1,1,2,0,0,low,1,17
3,1,1,3,0,0,low,1,29
3,1,2,3,1,0,low,2,14
1,1,0,2,0,0,low,1,22
5,1,1,3,0,0,medium,1,10
5,1,1,3,1,0,low,2,27
5,1,0,1,0,0,low,1,27
5,1,0,3,0,0,low,2,34
7,1,0,2,0,0,medium,2,19
3,3,1,3,0,0,low,2,29
5,3,0,2,0,0,low,2,34
1,1,0,3,0,0,low,2,22
5,1,1,3,0,0,low,1,21
5,1,2,3,0,0,low,2,11
9,1,1,3,1,0,medium,1,31
8,1,0,2,0,0,low,1,3
9,1,1,3,0,0,high,2,5
8,1,1,3,0,0,low,2,38
2,1,1,3,0,0,low,2,32
5,1,0,3,0,1,low,2,27
5,3,0,2,0,0,low,1,21
9,1,0,2,1,0,medium,2,5
5,1,1,4,0,0,low,1,10
9,3,1,3,0,0,medium,1,5
6,1,2,3,0,0,low,2,36
8,1,1,4,0,0,low,2,3
4,1,1,2,0,0,low,2,24
3,3,1,2,0,0,low,2,14
7,1,1,4,0,0,medium,2,37
3,1,0,2,0,0,medium,1,43
5,1,1,3,0,0,medium,1,10
9,3,0,1,1,0,low,1,5
4,1,1,3,0,0,low,1,16
7,1,0,2,0,0,low,1,30
1,1,0,1,0,0,medium,1,22
5,1,0,1,0,0,low,2,10
5,3,0,2,1,0,low,1,11
1,1,0,2,0,0,medium,1,22
6,3,0,2,1,0,low,2,36
1,1,2,5,0,0,medium,1,7
5,2,1,3,0,0,low,2,10
8,1,0,2,0,0,low,1,44
9,1,1,3,0,0,medium,2,41
8,1,1,3,0,0,low,2,3
9,1,0,3,0,0,low,1,5
3,1,2,4,1,2,low,2,29
9,1,1,3,0,0,medium,1,5
7,1,0,2,0,0,low,1,37
8,1,1,3,0,0,low,1,3
6,1,1,4,1,0,low,2,18
9,1,2,4,0,0,medium,2,41
9,1,0,3,0,0,high,1,41
5,2,0,3,1,0,medium,2,21
9,1,1,2,0,0,low,1,5
5,1,1,3,0,0,medium,2,21
9,1,0,2,0,0,medium,1,5
1,3,0,3,0,0,low,1,22
9,1,1,2,0,0,low,2,5
4,1,1,3,0,0,low,2,35
3,1,0,2,0,0,low,2,23
5,3,1,2,1,0,low,2,27
3,1,0,1,0,0,low,2,43
6,1,1,3,0,0,low,1,1
5,3,1,1,0,0,low,2,10
9,1,1,3,0,0,high,2,5
9,1,1,2,0,0,low,1,5
3,3,1,2,0,0,low,2,15
3,1,0,3,0,0,low,2,14
7,3,1,3,0,0,low,1,37
7,1,2,3,0,0,low,2,4
5,1,1,3,0,0,medium,2,21
9,1,0,2,0,0,low,1,5
5,1,1,3,0,0,medium,2,40
7,1,0,1,0,0,low,2,37
8,1,1,4,0,0,low,1,38
5,3,1,2,1,0,low,2,11
5,3,1,4,0,0,low,1,40
5,1,0,1,0,0,low,1,10
9,1,1,2,0,0,low,1,5
9,1,0,2,0,0,low,2,12
9,1,0,1,0,0,high,1,5
9,1,0,1,0,0,low,2,41
2,1,1,2,0,0,low,1,32
7,1,0,1,0,1,low,2,37
2,1,1,3,0,0,medium,2,32
5,1,1,3,0,0,low,2,27
3,1,0,3,0,0,low,1,29
5,1,0,2,0,0,low,1,10
5,1,0,2,0,0,medium,1,40
5,2,0,2,0,0,low,2,10
5,1,0,2,0,0,low,1,34
9,1,0,1,1,0,low,2,41
9,1,1,4,0,0,medium,1,5
3,1,0,1,0,0,low,1,14
6,1,2,3,0,0,low,1,1
5,1,1,3,0,0,low,2,10
3,1,1,3,0,0,low,1,15
9,1,0,1,0,0,medium,2,5
1,1,1,4,0,0,low,1,22
5,1,1,3,0,0,low,1,40
9,3,1,5,0,0,medium,2,5
7,1,1,4,0,0,high,1,37
7,1,1,3,0,0,low,2,37
5,1,0,2,0,0,low,0,11
7,1,1,3,0,0,high,1,37
5,1,2,3,0,0,low,1,11
6,3,0,1,0,0,low,1,18
3,1,1,3,0,0,high,1,14
9,1,0,3,0,0,high,1,5
7,3,1,3,1,0,low,1,37
6,1,1,3,1,1,low,1,25
2,1,0,3,0,0,low,1,32
7,1,0,3,0,0,low,2,37
3,1,1,3,0,0,low,1,15
3,1,2,3,0,0,low,1,43
8,1,1,4,0,0,medium,2,3
7,1,1,3,0,0,low,2,19
9,1,1,3,0,0,low,2,5
3,1,0,2,1,0,medium,2,43
1,1,0,1,0,0,medium,1,7
8,1,1,4,0,0,medium,2,6
3,1,1,2,1,0,medium,2,14
9,1,1,3,0,0,medium,2,5
9,1,1,3,0,0,medium,1,5
9,1,0,2,0,2,low,1,41
3,1,1,2,0,0,low,1,29
3,3,1,3,0,0,low,1,29
3,3,2,3,0,0,low,2,23
9,1,1,3,1,0,low,1,5
4,1,3,9,0,0,low,2,35
8,1,1,4,0,0,medium,1,3
8,1,0,2,0,0,low,1,3
7,3,1,2,0,0,low,1,4
9,1,0,0,0,0,low,1,5
7,1,0,2,0,0,low,1,37
5,3,1,2,0,0,low,1,40
8,1,1,3,0,0,medium,2,3
9,1,0,1,0,0,low,2,5
7,1,1,3,1,0,low,1,37
9,1,1,4,1,0,medium,2,5
5,3,0,2,0,0,low,1,40
4,1,1,4,0,0,low,2,17
2,1,1,3,0,0,low,2,32
5,1,0,2,1,0,low,1,10
9,3,1,1,0,0,low,2,5
9,3,0,2,0,0,low,2,5
6,3,1,2,0,0,low,1,36
7,1,0,3,0,0,low,1,19
1,1,1,2,0,0,medium,2,22
3,1,0,2,0,0,low,1,15
3,2,0,2,0,0,low,2,14
3,1,0,2,0,0,low,1,23
1,1,0,2,0,0,medium,2,22
3,3,0,3,0,0,medium,2,23
9,1,0,3,0,0,medium,1,5
5,3,1,2,0,0,low,1,10
3,1,1,2,0,0,low,2,15
5,1,1,3,0,0,low,1,11
7,3,0,1,0,0,low,2,37
2,1,1,3,0,0,medium,1,32
7,3,1,2,0,0,low,1,30
2,1,0,1,0,0,medium,1,32
8,1,0,2,0,0,medium,2,6
1,3,0,2,0,0,medium,2,22
5,3,0,3,0,0,low,1,10
7,3,1,3,0,0,low,2,30
9,1,0,2,0,0,medium,1,5
7,1,1,4,0,0,medium,1,37
9,1,1,3,0,0,high,1,5
7,1,2,3,0,0,high,1,37
9,1,0,2,0,0,medium,1,5
4,1,1,3,0,0,low,2,24
7,3,1,3,0,0,low,1,37
9,1,0,3,0,0,low,1,5
9,1,1,5,0,0,low,2,5
9,1,1,4,0,0,medium,1,5
2,1,0,2,0,0,low,2,32
5,3,0,2,0,0,low,1,9
7,1,0,3,0,0,low,1,37
8,1,0,2,0,0,low,1,13
9,3,0,2,0,0,medium,1,5
7,1,0,1,0,0,low,2,37
9,1,1,0,0,0,low,2,5
5,1,1,3,0,0,medium,1,10
9,1,0,1,0,0,low,1,41
7,3,1,2,0,0,low,2,37
5,1,0,3,0,0,medium,1,10
5,3,1,3,0,0,low,2,11
9,1,0,2,0,0,medium,2,12
7,1,1,3,0,0,low,2,37
3,1,0,2,0,0,low,1,14
7,1,0,3,1,2,low,1,37
5,3,0,1,0,0,low,1,10
9,3,1,1,0,0,low,1,5
5,1,1,5,0,0,medium,2,11
9,1,1,2,0,0,medium,1,5
2,3,0,3,0,0,low,1,32
4,1,0,2,0,0,low,2,35
2,3,0,2,0,0,low,2,32
5,1,0,2,1,0,low,2,10
1,1,0,2,0,0,low,1,22
9,1,1,5,0,0,low,2,31
9,1,0,1,0,0,low,1,5
5,1,1,3,0,0,low,2,11
3,1,1,3,0,0,low,1,29
7,1,1,4,0,0,low,1,37
8,1,1,5,0,0,low,1,3
3,1,0,0,0,0,low,1,23
6,1,2,3,1,0,low,2,36
3,3,0,1,0,0,low,1,43
3,1,0,2,0,0,low,2,14
4,3,0,2,0,0,low,1,24
9,3,1,2,0,0,medium,1,5
3,1,1,3,0,0,low,1,23
7,1,3,2,0,0,low,2,37
7,1,1,1,0,0,low,2,37
5,2,1,2,0,0,low,1,34
3,1,0,2,0,0,low,1,29
3,2,0,3,0,0,low,1,43
9,1,0,2,0,0,low,2,41
4,1,1,2,0,0,low,1,16
1,1,0,3,0,0,medium,1,22
9,1,0,2,0,0,medium,1,5
5,1,1,3,0,0,low,1,10
7,1,3,4,0,0,low,1,37
1,1,0,2,0,0,low,2,7
3,1,0,3,0,0,low,1,23
3,1,2,2,0,0,low,2,15
5,1,1,4,0,0,high,2,10
2,3,0,3,0,0,low,1,32
5,1,1,2,0,0,low,1,10
2,1,0,2,0,0,low,1,26
8,1,0,2,0,0,low,1,6
7,1,0,2,0,0,low,2,37
7,3,1,2,0,2,low,2,37
3,3,0,2,0,0,low,1,14
3,3,1,2,1,0,low,2,14
5,1,1,2,0,0,low,1,40
6,1,0,2,0,0,low,1,18
3,3,2,3,0,0,low,2,14
7,1,1,2,0,0,low,1,19
7,1,0,2,1,0,low,1,19
9,1,1,1,0,0,medium,1,5
9,1,1,3,0,0,high,1,5
5,1,0,1,0,0,low,2,10
3,3,0,3,0,0,low,1,14
2,1,2,3,0,0,medium,1,32
9,3,0,2,0,0,low,1,5
2,1,1,5,0,0,low,1,32
9,1,1,4,0,0,high,1,5
2,1,1,2,0,0,medium,1,32
9,1,0,3,0,0,low,1,31
2,1,1,5,0,0,low,1,32
9,1,1,3,0,0,low,1,31
5,1,1,3,0,0,low,2,10
9,3,1,2,0,0,low,1,5
5,1,0,3,0,0,low,4,10
9,3,1,2,0,0,low,2,5
9,1,2,2,0,0,medium,2,5
3,1,1,2,0,0,medium,2,23
3,1,1,2,0,0,low,2,29
5,3,1,2,0,0,low,1,34
5,1,0,1,0,0,low,1,21
5,1,1,2,0,0,low,2,34
9,1,1,3,1,1,medium,2,5
2,2,0,3,0,0,medium,1,26
7,1,1,3,0,0,low,1,37
9,3,2,5,0,2,low,2,31
9,3,1,2,0,0,low,1,5
3,3,0,2,0,0,low,1,14
3,1,0,1,0,0,low,2,23
9,1,1,5,0,0,medium,2,5
1,1,1,2,0,0,medium,2,22
2,1,0,4,0,0,low,2,32
3,1,1,2,0,0,low,2,23
5,1,0,2,0,0,low,1,10
5,1,0,3,0,0,medium,1,10
9,1,1,2,1,0,medium,2,5
5,1,0,2,0,0,medium,2,21
9,3,1,3,0,0,medium,1,5
9,3,0,2,0,0,low,1,5
9,1,1,3,0,0,medium,2,5
5,1,1,3,0,0,low,2,27
8,1,1,2,0,0,low,1,3
9,3,0,1,0,0,low,1,5
9,1,0,1,1,0,low,2,31
7,3,0,2,0,0,low,1,37
3,1,1,3,0,2,low,1,23
5,3,1,2,0,0,low,2,11
8,1,1,3,1,0,low,1,38
5,1,1,2,1,0,low,2,27
5,1,1,3,0,0,medium,1,10
3,1,0,2,0,0,low,1,14
9,1,0,2,0,0,low,2,31
5,1,1,3,0,0,medium,1,10
1,2,0,1,0,0,low,1,20
3,3,0,2,0,0,low,1,29
9,1,2,3,0,0,medium,2,5
4,1,3,4,0,0,low,1,24
9,1,0,3,0,0,medium,2,5
7,1,1,4,0,0,medium,1,37
6,1,1,6,0,1,low,1,25
7,1,0,2,0,0,medium,1,37
3,1,0,3,0,0,medium,2,14
7,3,0,2,0,0,low,1,37
3,3,0,1,0,0,low,1,23
7,3,1,3,0,0,low,2,37
7,3,0,1,1,0,low,1,37
4,1,1,3,0,0,low,1,35
4,1,0,2,0,0,low,1,24
9,1,1,3,1,0,low,1,5
5,1,1,3,0,0,medium,2,21
6,3,0,2,0,0,low,1,18
9,1,0,2,0,0,medium,1,5
9,3,0,2,0,2,medium,1,5
5,3,0,2,2,0,low,2,42
6,1,2,2,0,0,low,1,25
7,1,0,2,0,0,low,2,37
9,1,0,3,0,0,low,1,5
3,1,1,2,0,0,low,1,23
5,1,1,3,0,0,low,2,27
3,1,1,3,0,0,low,2,23
4,3,1,2,0,0,low,1,17
5,2,0,2,0,0,low,1,11
5,1,0,3,0,0,low,2,27
9,1,0,2,0,0,medium,1,5
7,1,1,3,0,0,medium,1,37
5,3,0,2,0,0,low,1,10
9,1,0,1,0,0,medium,2,5
6,1,0,2,0,0,low,2,36
9,1,0,2,0,0,low,2,5
3,1,1,2,2,2,low,2,23
3,1,0,3,1,0,low,2,15
5,3,0,2,1,0,low,1,10
8,1,0,2,1,1,low,1,3
3,1,0,2,0,0,medium,2,14
3,1,2,3,1,0,medium,1,15
3,1,2,3,0,0,low,2,29
9,1,1,4,0,0,medium,2,41
1,1,0,1,0,0,low,1,7
7,3,1,5,0,0,low,1,37
7,3,1,3,0,0,low,2,4
5,1,0,2,0,0,low,1,27
7,3,1,3,0,0,low,2,37
5,1,2,4,0,0,medium,2,40
9,1,1,2,0,0,low,1,5
5,1,0,2,1,0,low,1,10
3,1,1,2,0,0,low,1,14
8,1,2,3,0,0,low,2,6
6,1,1,2,0,0,low,2,25
5,1,0,2,0,0,low,1,11
3,1,1,2,0,0,low,1,14
9,3,0,1,0,0,low,1,5
7,1,1,3,0,0,low,2,37
7,1,0,3,0,0,low,1,30
9,3,0,1,0,0,low,1,5
5,1,0,2,0,0,low,1,40
8,1,1,4,0,0,low,1,38
7,1,0,1,0,0,low,2,30
3,2,1,3,0,0,low,1,15
7,3,1,3,1,0,low,2,37
9,1,1,3,0,0,low,1,5
9,1,1,3,0,0,medium,1,5
5,1,1,3,0,0,low,1,42
3,1,0,2,0,0,low,1,23
3,2,1,3,1,0,low,1,23
7,1,0,1,0,0,low,1,37
3,1,3,4,0,0,low,1,43
3,1,2,2,0,0,low,2,14
5,1,0,2,0,0,low,2,10
4,3,1,4,0,0,low,2,17
8,1,0,3,0,0,low,1,13
9,2,1,2,0,0,medium,2,5
3,1,2,4,0,0,low,2,14
2,3,0,2,0,0,low,1,32
9,3,0,1,0,0,low,1,31
6,3,1,3,0,0,low,2,36
9,1,0,0,0,0,medium,2,5
5,1,1,2,0,0,low,1,27
9,1,1,2,0,0,low,1,5
9,1,0,2,0,0,medium,2,5
8,1,0,2,0,0,low,1,38
6,1,0,1,0,0,low,1,1
8,3,0,1,0,0,low,2,3
5,1,1,3,1,1,low,2,34
5,3,0,3,0,0,low,2,11
9,2,0,1,0,0,low,1,5
7,1,1,3,0,0,low,1,37
5,3,1,2,0,0,low,1,27
9,2,1,5,0,0,medium,2,5
8,1,0,2,0,0,low,1,44
9,1,1,2,2,0,medium,2,41
1,1,0,2,0,0,low,1,22
9,1,0,3,0,0,medium,2,5
7,1,1,3,0,0,low,2,37
5,1,0,2,0,0,low,1,11
5,1,1,3,0,0,medium,1,27
5,3,0,3,0,0,low,1,10
5,3,0,2,0,0,low,2,21
4,1,1,3,0,0,medium,2,24
3,2,1,2,0,0,medium,1,14
9,1,2,4,0,0,medium,1,5
5,1,0,2,0,0,low,1,10
3,1,0,2,0,0,medium,2,14
9,1,1,3,0,0,medium,1,5
8,1,0,1,1,0,low,1,6
6,2,0,2,0,0,low,1,18
7,1,1,3,0,0,high,2,37
1,1,1,2,0,0,low,1,22
3,1,0,2,0,0,low,1,23
9,1,2,10,0,0,high,1,41
2,1,0,2,0,0,low,2,32
4,1,0,4,0,0,low,1,24
5,1,0,2,0,0,low,1,27
5,1,0,2,0,0,low,2,10
4,3,0,2,0,0,low,1,24
9,1,0,2,0,0,low,1,41
7,1,1,3,0,0,low,1,19
9,1,0,4,1,0,medium,2,5
6,2,0,2,0,0,low,1,18
7,3,0,2,0,0,low,2,37
9,1,1,4,0,0,medium,1,41
6,1,1,2,0,0,low,1,25
5,3,1,3,0,0,low,1,34
9,1,0,1,0,0,low,1,5
9,1,1,2,0,0,low,1,12
9,1,0,2,1,0,medium,1,5
7,1,1,3,0,0,low,2,37
9,3,0,2,0,0,medium,1,5
5,3,0,3,0,0,low,1,34
7,1,0,1,1,0,low,1,37
8,1,0,1,0,0,low,2,6
9,1,0,1,0,0,low,2,5
9,1,0,2,0,0,medium,2,5
5,1,1,3,1,0,low,2,40
8,1,0,1,0,0,low,2,3
9,3,0,1,0,0,low,1,5
2,1,1,2,0,0,low,1,32
7,3,1,3,0,0,low,1,37
5,1,0,3,0,0,low,1,27
5,1,1,3,0,0,low,1,11
9,3,0,1,2,0,low,2,5
7,1,1,3,0,0,medium,1,37
9,1,0,3,0,0,low,2,41
1,1,0,2,0,0,low,2,7
8,1,1,2,0,0,low,2,3
7,1,1,2,0,0,low,1,19
7,3,0,2,0,0,low,1,37
7,1,0,2,0,0,low,2,4
9,1,0,2,0,0,medium,1,5
5,1,1,3,0,0,low,2,10
8,1,0,2,0,0,low,2,3
3,2,1,3,0,0,low,2,43
5,1,0,2,0,0,low,2,10
9,2,0,2,0,0,low,2,31
3,1,0,2,0,0,medium,2,14
9,1,0,1,0,0,low,1,41
5,1,0,3,0,0,low,1,11
5,3,1,3,0,0,low,2,27
9,1,0,2,0,0,medium,2,5
7,1,0,1,0,0,low,2,19
8,1,1,3,0,0,medium,2,3
5,1,1,3,0,0,low,2,27
5,3,0,2,0,0,low,2,40
8,1,1,4,0,0,low,1,3
5,1,1,4,1,0,medium,1,10
9,1,0,3,1,0,medium,2,5
7,1,1,2,0,0,low,1,37
9,1,1,4,0,0,low,1,5
9,1,0,2,0,0,medium,1,5
5,1,0,2,0,0,low,1,11
1,2,0,4,2,0,medium,2,20
5,1,0,1,0,0,medium,2,21
3,1,1,2,0,0,low,1,15
9,1,0,2,0,0,low,1,5
1,1,0,3,0,0,low,1,7
5,1,1,3,0,0,medium,2,27
6,3,1,3,1,0,low,2,1
9,1,0,2,0,0,low,2,31
5,1,1,3,1,0,low,1,10
8,1,1,5,0,0,low,1,3
6,1,2,3,0,0,low,1,36
3,1,0,2,0,0,low,2,29
9,1,0,2,0,0,low,1,5
8,1,2,3,0,0,low,1,13
2,1,1,3,0,0,low,2,32
9,1,1,3,0,0,low,2,41
8,1,1,5,0,0,medium,1,38
5,3,1,3,0,0,low,1,27
5,3,1,2,2,0,low,2,34
5,3,1,2,2,0,low,1,10
1,1,1,3,0,0,medium,1,22
9,1,2,3,0,0,low,1,41
5,3,1,3,0,0,low,1,10
